periode,temp_max,nbj_ac,nj_vdc,prec_cumul,p_d_s,prec_intense,nbj_prec,nom,insee,secheresses,secheresse
H1,16.29,51,16,1349.61,32,11.18,4.35,REZZA,2A259,2,2
H1,12.57,47,14,1220.68,29,9.79,4.67,PASTRICCIOLA,2A204,1,1
H1,12.64,46,13,1189.86,31,9.46,4.19,VIVARIO,2B354,2,2
H1,15.89,48,14,1043.75,33,8.21,3.95,GHISONI,2B124,2,2
H1,19.16,36,7,912.85,43,5.62,3.51,VEZZANI,2B347,2,2
H1,20.48,20,1,823.95,44,5.04,3.76,AGHIONE,2B002,2,2
H1,20.75,19,1,805.1,44,4.92,3.7,ALERIA,2B009,2,2
H1,15.21,80,31,669.49,28,5.34,3.87,LATOUR-DE-CAROL,66095,0,0
H1,13.18,76,26,697.5,26,5.5,4.17,NAHUJA,66120,0,0
H1,7.55,62,22,864.93,24,6.75,4.02,LLO,66100,1,1
H1,5.66,56,19,1147.39,24,7.82,4.05,FONTPEDROUSE,66080,1,1
H1,7.15,62,20,1078.3,24,7.6,4.06,MANTET,66102,1,1
H1,9.98,61,20,1540.15,22,11.24,4.23,PRATS-DE-MOLLO-LA-PRESTE,66150,1,1
H1,14.14,64,17,1342.76,22,9.71,4.21,PRATS-DE-MOLLO-LA-PRESTE,66150,1,1
H1,16.69,61,15,1161.17,23,8.42,4.4,SAINT-LAURENT-DE-CERDANS,66179,1,1
H1,15.79,57,14,1193.87,24,8.64,4.33,AMELIE-LES-BAINS-PALALDA,66003,1,1
H1,16.87,53,11,1098.14,24,7.86,4.15,MAUREILLAS-LAS-ILLAS,66106,1,1
H1,18.79,50,10,817.76,30,4.73,4.15,LE PERTHUS,66137,1,1
H1,17.9,34,4,869.12,34,4.71,3.87,BANYULS-SUR-MER,66016,2,2
H1,18.92,25,2,797.22,35,4.33,4.21,CERBERE,66048,2,2
H1,20.2,21,2,811.75,44,6.58,4.08,PIANA,2A212,2,2
H1,17.75,44,11,971.25,41,7.93,4.15,PIANA,2A212,2,2
H1,16.83,53,16,1186.04,35,9.71,4.52,MARIGNANA,2A154,2,2
H1,14.91,54,20,1263.92,33,10.46,4.17,LETIA,2A141,2,2
H1,11.34,46,12,1282.32,29,10.17,4.4,ORTO,2A196,1,1
H1,9.4,44,12,1371.11,29,10.86,4.4,VENACO,2B341,1,1
H1,14.71,47,14,1076.05,32,8.59,3.9,VENACO,2B341,2,2
H1,18.23,50,13,821.75,35,5.62,4.04,ROSPIGLIANI,2B263,2,2
H1,18.91,37,7,922.97,41,5.52,3.88,PIEDICORTE-DI-GAGGIO,2B218,2,2
H1,19.96,20,1,874.62,40,5.36,3.88,TALLONE,2B320,2,2
H1,20.33,17,1,843.66,42,5.31,3.79,LINGUIZZETTA,2B143,2,2
H1,11.89,76,27,961.71,23,7.66,4.2,AUZAT,09030,0,0
H1,6.51,60,18,1156.43,22,9.44,4.45,PORTA,66146,1,1
H1,5.58,57,19,1158.14,22,9.44,4.2,PORTA,66146,1,1
H1,7.4,65,23,924.19,22,7.49,3.98,PORTA,66146,0,0
H1,10.2,70,25,778.31,27,6.23,4.07,ENVEITG,66066,1,1
H1,11.75,73,26,759.04,26,6.17,4.17,TARGASONNE,66202,0,0
H1,10.68,71,25,768.07,25,6.25,4.46,SAINT-PIERRE-DELS-FORCATS,66188,0,0
H1,10.12,67,23,949.29,24,7.31,4.21,FONTPEDROUSE,66080,0,0
H1,9.97,67,22,951.0,23,7.31,4.25,NYER,66123,0,0
H1,10.53,67,22,992.25,25,7.04,4.63,PY,66155,1,1
H1,8.07,56,14,1654.42,22,11.97,4.48,CORSAVY,66060,1,1
H1,15.04,64,16,1269.55,23,9.22,4.33,CORSAVY,66060,1,1
H1,18.35,52,11,1015.44,24,7.36,4.15,REYNES,66160,1,1
H1,19.06,48,9,790.72,30,4.5,3.78,CERET,66049,2,2
H1,18.31,49,9,826.0,30,4.81,3.87,L'ALBERE,66001,1,1
H1,16.16,40,5,964.33,34,5.41,3.97,SOREDE,66196,2,2
H1,17.84,34,3,867.46,34,4.83,3.94,COLLIOURE,66053,2,2
H1,19.28,26,2,782.66,35,4.13,4.21,BANYULS-SUR-MER,66016,2,2
H1,20.55,20,3,787.75,43,6.22,4.33,OSANI,2A197,2,2
H1,19.55,30,5,856.76,42,6.8,4.3,PARTINELLO,2A203,2,2
H1,15.12,48,13,1141.77,32,9.04,4.13,EVISA,2A108,2,2
H1,11.43,45,12,1311.7,30,10.21,4.37,EVISA,2A108,2,2
H1,11.34,46,12,1281.82,30,10.18,4.42,ALBERTACCE,2B007,2,2
H1,11.99,47,13,1245.28,31,9.95,4.12,CORTE,2B096,2,2
H1,16.12,54,16,863.09,35,6.19,3.7,CASANOVA,2B074,2,2
H1,18.46,46,11,987.9,33,6.26,3.77,ERBAJOLO,2B105,2,2
H1,17.31,49,12,1054.12,33,6.6,3.9,AMPRIANI,2B015,2,2
H1,18.91,35,6,974.98,38,6.02,3.82,TOX,2B328,2,2
H1,20.32,17,1,841.06,40,5.17,3.79,CANALE-DI-VERDE,2B057,2,2
H1,10.73,72,24,990.02,23,7.92,4.23,AUZAT,09030,0,0
H1,8.49,66,21,1083.57,22,8.86,4.65,ASTON,09024,0,0
H1,6.77,61,20,1128.68,22,9.44,4.57,PORTA,66146,1,1
H1,8.03,67,22,929.5,22,7.84,4.43,PORTE-PUYMORENS,66147,0,0
H1,6.22,60,20,1019.52,20,8.09,4.35,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66005,1,1
H1,7.59,67,21,948.88,21,7.89,4.44,ANGOUSTRINE-VILLENEUVE-DES-ESCALDES,66005,0,0
H1,10.21,75,25,872.35,21,7.01,4.45,MATEMALE,66105,0,0
H1,11.34,70,25,931.44,24,7.0,4.27,AYGUATEBIA-TALAU,66010,0,0
H1,14.88,66,20,824.82,25,5.95,4.13,JUJOLS,66090,1,1
H1,16.55,63,19,801.14,27,5.42,4.35,CORNEILLA-DE-CONFLENT,66057,1,1
H1,14.21,63,17,896.23,26,6.17,4.23,ESTOHER,66073,1,1
H1,15.56,54,11,1000.58,28,5.69,4.28,BOULE-D'AMONT,66022,1,1
H1,17.73,51,9,856.58,30,5.11,4.17,CALMEILLES,66032,1,1
H1,19.41,46,6,766.93,29,4.53,3.96,TORDERES,66211,1,1
H1,19.79,44,7,716.98,35,3.24,4.13,BANYULS-DELS-ASPRES,66015,2,2
H1,20.16,42,5,713.84,36,3.33,4.05,PALAU-DEL-VIDRE,66133,2,2
H1,19.37,26,2,769.53,36,4.09,4.13,ARGELES-SUR-MER,66008,2,2
H1,19.7,25,4,696.99,47,5.25,4.37,GALERIA,2B121,2,2
H1,18.05,33,6,778.87,45,5.84,4.31,GALERIA,2B121,2,2
H1,17.84,51,17,1012.96,32,8.05,4.13,MANSO,2B153,2,2
H1,11.32,45,12,1323.67,30,10.13,4.47,MANSO,2B153,2,2
H1,11.16,47,14,1285.04,29,10.32,4.53,LOZZI,2B147,1,1
H1,13.59,49,13,1141.62,31,9.25,4.21,CORSCIA,2B095,2,2
H1,17.43,55,18,819.52,36,5.85,3.86,TRALONCA,2B329,2,2
H1,15.16,49,12,1167.67,32,7.49,3.85,RUSIO,2B264,2,2
H1,14.4,45,11,1199.94,32,7.46,3.85,PIOBETTA,2B234,2,2
H1,17.76,42,9,1047.12,37,6.55,4.05,SANT'ANDREA-DI-COTONE,2B293,2,2
H1,20.32,18,1,849.33,38,5.22,3.88,CERVIONE,2B087,2,2
H1,5.91,59,18,1625.84,17,13.64,4.01,AUZAT,09030,0,0
H1,6.62,61,18,1147.08,21,9.52,4.22,LERCOUL,09162,1,1
H1,6.13,62,19,1647.21,17,13.89,4.08,ASTON,09024,0,0
H1,6.62,64,20,1615.87,17,13.64,3.85,ASTON,09024,0,0
H1,8.95,71,22,1486.14,17,12.61,4.32,MERENS-LES-VALS,09189,0,0
H1,7.23,66,22,1571.12,17,13.5,3.96,MERENS-LES-VALS,09189,0,0
H1,7.06,64,20,1577.47,17,13.61,4.01,FORMIGUERES,66082,0,0
H1,10.69,75,26,855.66,21,6.81,4.58,FONTRABIOUSE,66081,0,0
H1,7.87,66,21,1418.12,17,11.59,3.94,SANSA,66191,0,0
H1,12.51,65,19,880.43,24,6.47,4.08,URBANYA,66219,1,1
H1,17.17,61,17,724.75,26,5.23,4.05,CAMPOME,66034,1,1
H1,17.86,52,11,861.12,29,5.04,4.27,MARQUIXANES,66103,1,1
H1,18.16,49,9,846.15,28,5.0,4.08,BOULETERNERE,66023,1,1
H1,18.84,51,9,796.3,30,4.62,4.15,CAMELAS,66033,1,1
H1,19.55,43,6,708.94,36,3.33,4.08,THUIR,66210,2,2
H1,20.05,43,4,696.54,35,3.22,4.25,POLLESTRES,66144,2,2
H1,20.38,43,5,697.87,35,3.24,4.22,ALENYA,66002,2,2
H1,20.47,43,4,695.12,35,3.23,4.22,SAINT-CYPRIEN,66171,2,2
H1,19.38,27,4,699.38,45,5.23,4.32,GALERIA,2B121,2,2
H1,16.5,37,8,829.68,43,6.45,4.3,GALERIA,2B121,2,2
H1,11.75,43,10,1299.64,29,9.98,4.81,CALENZANA,2B049,1,1
H1,11.17,46,13,1300.48,30,10.23,4.33,ASCO,2B023,2,2
H1,12.89,48,13,1181.28,31,9.53,4.08,CASTIGLIONE,2B081,2,2
H1,18.79,53,16,761.37,37,5.69,4.0,PRATO-DI-GIOVELLINA,2B248,2,2
H1,16.52,50,12,1115.05,33,7.08,4.07,SALICETO,2B267,2,2
H1,17.39,47,12,1069.13,32,6.71,3.87,CROCE,2B101,2,2
H1,18.45,38,7,992.17,37,6.24,3.83,VELONE-ORNETO,2B340,2,2
H1,6.75,63,20,1638.34,18,13.02,4.04,GAVARNIE-GEDRE,65192,0,0
H1,6.36,63,20,1634.64,17,13.02,3.83,GAVARNIE-GEDRE,65192,0,0
H1,7.95,66,22,1568.85,17,12.61,3.94,GAVARNIE-GEDRE,65192,0,0
H1,7.93,63,21,1563.29,17,12.59,4.1,SAINT-LARY-SOULAN,65388,0,0
H1,6.79,62,21,1644.74,17,13.34,4.1,SAINT-LARY-SOULAN,65388,0,0
H1,5.39,62,20,1746.41,17,14.25,3.92,LOUDENVIELLE,65282,0,0
H1,5.92,64,22,1711.83,17,14.44,3.87,CASTILLON-DE-LARBOUST,31123,0,0
H1,7.78,68,23,1636.05,16,13.46,4.27,BAGNERES-DE-LUCHON,31042,0,0
H1,8.71,70,23,1810.22,15,15.05,4.4,COUFLENS,09100,0,0
H1,7.16,65,22,1920.14,16,16.11,4.45,COUFLENS,09100,0,0
H1,6.95,64,22,1936.53,16,16.18,4.0,USTOU,09322,0,0
H1,8.09,70,23,1518.76,16,12.91,4.48,AUZAT,09030,0,0
H1,8.83,71,23,1482.57,17,12.54,4.26,AUZAT,09030,0,0
H1,9.09,73,24,1475.22,17,12.55,4.4,ASTON,09024,0,0
H1,10.52,75,27,1408.62,17,11.86,4.17,ASTON,09024,0,0
H1,13.17,77,25,1297.63,17,11.01,4.22,SAVIGNAC-LES-ORMEAUX,09283,0,0
H1,12.57,77,25,1330.48,17,11.23,4.25,ORLU,09220,0,0
H1,9.34,72,25,1476.76,17,12.57,4.17,MIJANES,09193,0,0
H1,12.61,73,22,919.99,19,7.32,4.52,QUERIGUT,09239,0,0
H1,11.25,74,23,1255.88,18,10.0,4.37,LE BOUSQUET,11047,0,0
H1,12.2,71,18,1219.24,18,9.82,4.33,MONTFORT-SUR-BOULZANE,11244,0,0
H1,14.24,58,13,960.86,25,6.29,4.23,SOURNIA,66198,1,1
H1,16.45,57,12,866.52,26,5.64,4.05,TREVILLACH,66215,1,1
H1,18.05,53,11,797.75,26,5.24,4.17,MONTALBA-LE-CHATEAU,66111,1,1
H1,19.31,51,9,726.41,27,4.77,4.06,MILLAS,66108,1,1
H1,19.62,43,6,710.36,35,3.33,4.04,PEZILLA-LA-RIVIERE,66140,2,2
H1,20.13,42,5,692.86,35,3.22,4.12,SAINT-ESTEVE,66172,2,2
H1,20.36,42,5,690.12,35,3.21,4.17,PERPIGNAN,66136,2,2
H1,20.47,43,4,686.5,34,3.17,4.22,CANET-EN-ROUSSILLON,66037,2,2
H1,19.38,27,4,699.39,48,5.2,4.42,CALENZANA,2B049,2,2
H1,19.41,27,4,698.24,45,5.24,4.38,MONCALE,2B165,2,2
H1,14.84,37,8,895.12,43,6.78,4.38,CALENZANA,2B049,2,2
H1,13.7,48,16,1157.93,30,9.17,4.05,MAUSOLEO,2B156,2,2
H1,17.12,51,15,981.16,33,8.01,4.06,MOLTIFAO,2B162,2,2
H1,19.05,52,15,755.46,38,5.5,4.02,MOLTIFAO,2B162,2,2
H1,18.36,52,14,799.77,36,5.54,3.92,CASTELLO-DI-ROSTINO,2B079,2,2
H1,17.59,44,10,1037.91,38,6.38,3.74,MONTE,2B166,2,2
H1,19.74,24,2,884.12,40,5.4,3.76,CASTELLARE-DI-CASINCA,2B077,2,2
H1,20.37,18,1,832.25,39,5.07,3.92,PENTA-DI-CASINCA,2B207,2,2
H1,6.18,65,22,1687.32,18,13.73,4.2,GAVARNIE-GEDRE,65192,0,0
H1,7.88,66,22,1556.55,18,12.46,3.92,GAVARNIE-GEDRE,65192,0,0
H1,8.93,68,22,1511.46,18,12.2,3.58,GAVARNIE-GEDRE,65192,0,0
H1,6.92,64,21,1635.07,17,13.12,4.04,ARAGNOUET,65017,0,0
H1,8.45,67,23,1567.39,17,12.76,4.08,TRAMEZAIGUES,65450,0,0
H1,8.71,67,23,1556.45,17,12.64,4.06,SAINT-LARY-SOULAN,65388,0,0
H1,9.35,71,25,1315.64,18,10.91,4.08,LOUDENVIELLE,65282,0,0
H1,11.28,76,27,1466.03,16,12.07,3.85,CAZEAUX-DE-LARBOUST,31133,0,0
H1,13.18,79,27,1380.26,17,11.34,3.9,SAINT-MAMET,31500,0,0
H1,6.72,64,21,1960.4,15,16.07,4.28,SENTEIN,09290,0,0
H1,7.62,66,21,1890.62,16,15.73,4.15,BORDES-UCHENTEIN,09062,0,0
H1,9.44,71,24,1783.35,16,14.82,4.1,SEIX,09285,0,0
H1,13.04,75,26,1568.49,16,13.04,4.29,USTOU,09322,0,0
H1,12.94,75,25,1566.8,16,12.8,4.3,USTOU,09322,0,0
H1,10.8,76,24,1700.48,15,14.02,4.42,AUZAT,09030,0,0
H1,13.8,79,26,1275.45,17,10.79,4.42,VAL-DE-SOS,09334,0,0
H1,14.57,76,25,1217.29,18,10.28,4.23,MIGLOS,09192,0,0
H1,15.34,74,25,1161.26,18,9.8,4.23,ALBIES,09004,0,0
H1,13.27,75,25,1306.05,18,10.61,4.23,CAUSSOU,09087,0,0
H1,11.99,75,24,1370.21,18,11.34,4.25,MONTAILLOU,09197,0,0
H1,11.77,73,22,1244.28,18,9.84,4.29,NIORT-DE-SAULT,11265,0,0
H1,13.77,72,23,1141.55,19,9.22,4.19,AUNAT,11019,0,0
H1,14.5,71,22,1100.28,19,8.95,4.19,LE CLAT,11093,0,0
H1,14.62,70,18,1099.29,19,8.9,4.24,SALVEZINES,11373,0,0
H1,15.89,57,12,895.15,25,5.77,4.5,FENOUILLET,66077,1,1
H1,17.87,56,12,798.13,25,5.23,4.58,SAINT-MARTIN-DE-FENOUILLET,66184,1,1
H1,18.82,54,10,743.39,26,4.97,4.02,RASIGUERES,66158,1,1
H1,19.58,51,9,711.6,25,4.66,3.83,ESTAGEL,66071,1,1
H1,19.13,43,6,739.46,33,3.55,4.1,CASES-DE-PENE,66041,2,2
H1,20.2,42,5,694.37,35,3.32,4.13,RIVESALTES,66164,2,2
H1,20.43,42,5,695.94,35,3.2,4.32,SAINT-HIPPOLYTE,66176,2,2
H1,20.12,44,5,677.85,33,3.48,4.21,TORREILLES,66212,2,2
H1,20.5,24,3,648.81,49,4.81,4.38,CALVI,2B050,2,2
H1,20.13,24,3,660.19,49,4.94,4.29,LUMIO,2B150,2,2
H1,18.9,31,4,716.86,47,5.39,4.23,SANT'ANTONINO,2B296,2,2
H1,17.21,36,6,788.52,46,5.98,4.1,COSTA,2B097,2,2
H1,17.29,37,6,764.38,45,5.73,4.25,CASTIFAO,2B080,2,2
H1,15.22,36,7,829.93,44,6.36,4.47,PIETRALBA,2B223,2,2
H1,15.57,40,10,892.2,41,6.38,4.08,PIEVE,2B230,2,2
H1,18.1,40,9,1013.23,39,6.19,3.73,VIGNALE,2B350,2,2
H1,20.3,19,1,837.15,41,5.06,3.73,LUCCIANA,2B148,2,2
H1,8.53,68,22,2248.97,17,18.84,3.88,BORCE,64136,0,0
H1,10.27,77,27,1799.84,18,15.09,3.89,URDOS,64542,0,0
H1,8.54,73,25,1913.4,17,15.87,3.98,LARUNS,64320,0,0
H1,7.8,66,22,1959.16,17,16.63,4.08,LARUNS,64320,0,0
H1,5.53,65,20,1725.97,18,13.93,4.23,ARRENS-MARSOUS,65032,0,0
H1,6.98,66,22,1638.68,18,13.33,4.38,CAUTERETS,65138,0,0
H1,7.59,66,22,1604.2,18,13.16,4.37,SAZOS,65413,0,0
H1,9.12,68,23,1435.63,17,11.61,4.04,LUZ-SAINT-SAUVEUR,65295,0,0
H1,5.64,63,21,1636.91,17,13.39,4.17,SAINT-LARY-SOULAN,65388,0,0
H1,8.3,67,22,1510.72,17,11.96,4.27,SAINT-LARY-SOULAN,65388,0,0
H1,13.64,80,29,1142.74,19,9.55,4.0,VIELLE-AURE,65465,0,0
H1,11.87,77,27,1221.51,18,10.12,4.21,CAZAUX-FRECHET-ANERAN-CAMORS,65141,0,0
H1,12.09,78,25,1433.7,17,11.82,3.96,MAYREGNE,31335,0,0
H1,13.5,80,26,1358.18,17,11.26,3.97,GOUAUX-DE-LUCHON,31222,0,0
H1,14.29,80,27,1301.57,18,10.87,4.1,FOS,31190,0,0
H1,10.65,75,26,1498.2,16,12.35,4.08,MELLES,31337,0,0
H1,11.48,75,25,1680.26,16,13.97,4.2,SENTEIN,09290,0,0
H1,13.06,74,23,1578.01,16,12.87,4.0,BORDES-UCHENTEIN,09062,0,0
H1,12.27,77,26,1649.13,16,13.68,4.07,SENTENAC-D'OUST,09291,0,0
H1,16.04,78,28,1351.88,17,11.44,4.38,OUST,09223,0,0
H1,14.73,76,25,1451.27,17,12.0,4.35,ERCE,09113,0,0
H1,12.77,74,24,1578.75,17,12.96,4.28,LE PORT,09231,0,0
H1,13.73,77,24,1281.81,18,10.62,4.25,RABAT-LES-TROIS-SEIGNEURS,09241,0,0
H1,16.55,71,20,1077.67,18,9.07,4.17,TARASCON-SUR-ARIEGE,09306,0,0
H1,12.88,74,22,1292.62,16,10.82,4.12,CAZENAVE-SERRES-ET-ALLENS,09092,0,0
H1,12.3,72,19,1335.37,17,11.18,4.35,MONTSEGUR,09211,0,0
H1,14.86,72,21,1206.54,17,9.92,4.25,BELCAIRE,11028,0,0
H1,14.34,72,22,1112.84,19,8.84,4.44,ROQUEFEUIL,11320,0,0
H1,14.7,71,19,1088.62,19,8.88,4.58,BELVIS,11036,0,0
H1,16.65,68,17,975.03,19,7.89,4.48,BELVIANES-ET-CAVIRAC,11035,0,0
H1,15.66,66,16,1025.95,19,8.21,4.35,SAINT-LOUIS-ET-PARAHOU,11352,0,0
H1,15.5,62,13,1068.16,23,7.63,4.38,CAMPS-SUR-L'AGLY,11065,1,1
H1,16.5,62,13,1012.06,24,7.25,4.35,CUBIERES-SUR-CINOBLE,11112,1,1
H1,17.23,58,12,962.7,22,7.0,4.27,CUCUGNAN,11113,1,1
H1,18.18,57,11,920.16,23,6.64,4.1,PAZIOLS,11276,1,1
H1,18.51,45,7,781.41,33,3.64,4.3,VINGRAU,66231,2,2
H1,19.27,43,5,735.92,34,3.51,4.18,SALSES-LE-CHATEAU,66190,2,2
H1,19.96,43,4,722.39,34,3.29,4.55,SALSES-LE-CHATEAU,66190,2,2
H1,20.47,43,4,702.42,34,3.17,4.54,LEUCATE,11202,2,2
H1,20.4,25,3,644.17,49,4.81,4.08,CORBARA,2B093,2,2
H1,20.17,25,3,653.72,47,4.88,4.15,BELGODERE,2B034,2,2
H1,19.46,27,3,668.25,47,4.95,4.25,URTACA,2B332,2,2
H1,16.98,40,8,827.23,42,5.86,4.38,SANTO-PIETRO-DI-TENDA,2B314,2,2
H1,19.38,28,5,710.15,43,5.1,3.99,RAPALE,2B257,2,2
H1,18.55,36,7,911.12,43,6.54,4.05,OLMETA-DI-TUDA,2B188,2,2
H1,20.35,17,1,824.27,41,5.13,4.12,BORGO,2B042,2,2
H1,9.38,68,22,2192.8,18,18.71,4.0,LESCUN,64336,0,0
H1,10.71,73,25,2100.09,18,17.94,4.12,ACCOUS,64006,0,0
H1,11.77,81,30,2016.6,18,17.07,3.92,ETSAUT,64223,0,0
H1,10.05,77,27,2157.23,17,18.19,3.88,LARUNS,64320,0,0
H1,7.88,66,22,1951.95,17,16.58,4.05,LARUNS,64320,0,0
H1,9.0,72,24,1580.68,17,12.86,4.37,ARRENS-MARSOUS,65032,0,0
H1,9.5,74,25,1445.65,17,11.77,4.0,CAUTERETS,65138,0,0
H1,11.98,76,24,1308.37,18,10.44,4.32,GRUST,65210,0,0
H1,10.07,73,25,1434.71,17,11.54,4.23,SERS,65424,0,0
H1,7.3,68,23,1595.01,17,12.82,4.37,BAREGES,65481,0,0
H1,8.48,68,21,1499.82,16,11.86,4.13,CAMPAN,65123,0,0
H1,13.81,81,28,1131.1,19,9.53,4.29,BARRANCOUEU,65066,0,0
H1,12.07,77,24,1200.7,18,9.95,4.37,BAREILLES,65064,0,0
H1,13.04,77,22,1154.64,18,9.61,4.13,FERRERE,65175,0,0
H1,14.25,79,23,1040.72,18,8.84,4.29,SIGNAC,31548,0,0
H1,14.57,79,23,1272.17,17,10.64,3.89,BOUTX,31085,0,0
H1,13.73,77,21,1323.59,17,11.1,4.12,BOUTX,31085,0,0
H1,15.07,78,27,1447.09,16,12.07,4.05,AUGIREIN,09027,0,0
H1,16.21,77,25,1344.36,17,11.18,4.22,SALSEIN,09279,0,0
H1,15.23,76,20,1397.7,16,11.75,4.37,MOULIS,09214,0,0
H1,16.45,76,20,1297.95,16,10.84,4.27,SOULAN,09301,0,0
H1,15.45,76,20,1394.2,16,11.75,4.52,BIERT,09057,0,0
H1,14.35,74,19,1476.18,16,12.43,4.37,SENTENAC-DE-SEROU,09292,0,0
H1,13.48,73,19,1304.94,18,11.38,4.5,BRASSAC,09066,0,0
H1,15.26,75,22,1179.89,18,10.39,4.23,PRAYOLS,09236,0,0
H1,15.75,75,22,1148.31,19,10.07,4.23,CELLES,09093,0,0
H1,15.23,71,19,1047.15,19,8.84,4.69,PEREILLE,09227,0,0
H1,15.94,70,18,993.25,20,8.45,4.46,L'AIGUILLON,09003,0,0
H1,16.29,69,17,975.44,19,8.0,4.25,RIVEL,11316,0,0
H1,16.77,67,16,948.03,20,7.72,4.46,PUIVERT,11303,0,0
H1,17.94,63,14,894.45,20,7.1,4.27,VAL-DU-FABY,11131,0,0
H1,17.75,64,14,915.8,20,7.28,4.27,COUIZA,11103,0,0
H1,16.49,66,15,1001.37,19,7.92,4.57,RENNES-LES-BAINS,11310,0,0
H1,15.7,60,13,1047.71,22,7.46,4.29,AURIAC,11020,1,1
H1,16.44,59,13,1008.64,22,7.17,4.29,MASSAC,11224,1,1
H1,17.1,58,12,978.73,23,6.94,4.23,TUCHAN,11401,1,1
H1,17.65,53,10,784.7,30,3.92,4.37,EMBRES-ET-CASTELMAURE,11125,1,1
H1,17.41,52,9,794.12,32,4.04,4.42,FEUILLA,11143,2,2
H1,19.39,45,6,720.24,33,3.81,4.6,TREILLES,11398,2,2
H1,20.11,44,5,698.78,33,3.65,4.65,LEUCATE,11202,2,2
H1,20.54,25,3,619.99,48,4.58,4.25,PALASCA,2B199,2,2
H1,19.77,25,3,653.25,47,4.83,4.27,SANTO-PIETRO-DI-TENDA,2B314,2,2
H1,19.79,26,4,694.08,44,4.9,4.3,SANTO-PIETRO-DI-TENDA,2B314,2,2
H1,20.11,25,4,670.88,44,4.79,4.08,SAINT-FLORENT,2B298,2,2
H1,18.62,36,7,908.72,42,6.58,3.9,BASTIA,2B033,2,2
H1,12.54,75,25,2105.7,18,17.73,4.27,LARRAU,64316,0,0
H1,11.46,74,24,2185.61,17,18.49,4.19,LARRAU,64316,0,0
H1,11.2,74,24,2207.85,16,18.59,4.06,SAINTE-ENGRACE,64475,0,0
H1,8.41,66,21,2490.61,17,21.41,3.85,ARETTE,64040,0,0
H1,13.73,78,27,1856.91,19,15.86,4.23,LEES-ATHAS,64330,0,0
H1,12.2,76,27,2001.78,18,16.78,4.5,ACCOUS,64006,0,0
H1,12.32,76,26,1990.91,17,16.7,4.37,LARUNS,64320,0,0
H1,10.6,73,27,2143.65,18,18.16,4.21,EAUX-BONNES,64204,0,0
H1,11.79,74,24,1330.79,18,10.6,4.29,ARRENS-MARSOUS,65032,0,0
H1,13.35,77,25,1261.51,18,10.19,4.2,BUN,65112,0,0
H1,15.06,81,27,1139.45,18,9.18,4.45,BEAUCENS,65077,0,0
H1,10.27,74,23,1419.11,17,11.4,4.27,GAZOST,65191,0,0
H1,10.93,75,26,1393.28,17,11.25,4.62,BEAUDEAN,65078,0,0
H1,13.29,76,25,1262.2,17,10.26,4.17,CAMPAN,65123,0,0
H1,12.81,74,20,1579.98,17,13.59,3.95,HECHES,65218,0,0
H1,14.1,78,22,1320.58,17,11.4,3.92,SARRANCOLIN,65408,0,0
H1,14.8,79,22,1259.61,18,11.04,4.17,SACOUE,65382,0,0
H1,16.8,82,23,1172.96,18,10.04,4.33,BAGIRY,31041,0,0
H1,15.26,81,23,994.28,19,8.43,4.12,MONCAUP,31348,0,0
H1,15.96,81,23,1182.35,17,9.93,4.21,MILHAS,31342,0,0
H1,16.28,81,23,1159.76,17,9.72,4.17,ARBAS,31011,0,0
H1,15.59,77,21,1144.26,18,9.83,4.29,CAZAVET,09091,0,0
H1,17.11,76,20,1042.2,18,8.96,4.48,SAINT-LIZIER,09268,0,0
H1,16.92,77,21,1053.78,18,9.07,4.4,LESCURE,09164,0,0
H1,16.63,79,22,1096.28,18,9.41,4.58,RIMONT,09246,0,0
H1,16.59,79,22,1098.39,19,9.47,4.6,LARBONT,09154,0,0
H1,16.35,74,20,1122.97,19,9.92,4.45,CADARCET,09071,0,0
H1,17.16,71,19,1056.53,19,9.32,4.29,VERNAJOUL,09329,0,0
H1,16.67,71,19,1083.55,19,9.57,4.05,GUDAS,09137,0,0
H1,16.74,68,17,942.33,20,8.02,4.23,DUN,09107,0,0
H1,16.98,67,15,928.59,20,7.89,4.53,LERAN,09161,0,0
H1,17.47,65,16,900.88,20,7.41,4.27,CHALABRE,11091,0,0
H1,17.02,67,16,935.15,20,7.57,4.46,SAINT-COUAT-DU-RAZES,11338,0,0
H1,17.81,63,14,899.46,20,7.14,4.27,ROQUETAILLADE-ET-CONILHAC,11323,0,0
H1,17.44,64,15,918.11,20,7.29,4.28,VERAZA,11406,0,0
H1,16.16,66,16,1005.6,20,7.86,4.3,MISSEGRE,11235,0,0
H1,16.39,60,13,988.67,23,7.18,4.25,MONTJOI,11250,1,1
H1,17.21,60,13,970.11,24,6.87,4.42,TERMES,11388,1,1
H1,17.46,58,13,970.88,22,6.79,4.23,TALAIRAN,11386,1,1
H1,18.22,50,9,779.79,32,3.96,4.45,VILLENEUVE-LES-CORBIERES,11431,2,2
H1,18.37,49,8,774.43,32,3.94,4.45,VILLESEQUE-DES-CORBIERES,11436,2,2
H1,19.57,45,6,723.49,33,3.9,4.7,ROQUEFORT-DES-CORBIERES,11322,2,2
H1,20.11,44,5,706.82,33,3.76,4.73,PORT-LA-NOUVELLE,11266,2,2
H1,19.98,23,3,688.63,42,4.83,3.96,NONZA,2B178,2,2
